	method	beta.div.method	beta.div.sqrt.D	force.subsample
add	additive	NULL	FALSE	FALSE
multi	multiplicative	NULL	FALSE	FALSE
p.jac	pairwise.jaccard	NULL	FALSE	FALSE
p.jac.f	pairwise.jaccard	NULL	FALSE	TRUE
p.sor	pairwise.sorensen	NULL	FALSE	FALSE
p.sor.f	pairwise.sorensen	NULL	FALSE	TRUE
p.sim	pairwise.simpson	NULL	FALSE	FALSE
p.sim.f	pairwise.simpson	NULL	FALSE	TRUE
m.sor	multi.sorensen	NULL	FALSE	FALSE
m.sim	multi.simpson	NULL	FALSE	FALSE
rao	rao	NULL	FALSE	FALSE
rao.f	rao	NULL	FALSE	TRUE
beals	beals	NULL	FALSE	FALSE
hell	beta.div	hellinger	FALSE	FALSE
chord	beta.div	chord	FALSE	FALSE
div	beta.div	divergence	FALSE	FALSE
canb	beta.div	canberra	TRUE	FALSE
whit	beta.div	whittaker	TRUE	FALSE
bray	beta.div	percentagedifference	TRUE	FALSE
wish	beta.div	wishart	TRUE	FALSE
hell.f	beta.div	hellinger	FALSE	TRUE
chord.f	beta.div	chord	FALSE	TRUE
div.f	beta.div	divergence	FALSE	TRUE
canb.f	beta.div	canberra	TRUE	TRUE
whit.f	beta.div	whittaker	TRUE	TRUE
bray.f	beta.div	percentagedifference	TRUE	TRUE
wish.f	beta.div	wishart	TRUE	TRUE
